invent_id,blm,pv,stf,usfs,lg,br,pvi,pvn,bia,stp,water,und,st,fws,coe,stl,pvu,stw,bpa,dod,gsa,nps,tot,blm_prop,pv_prop,stf_prop,usfs_prop,lg_prop,br_prop,pvi_prop,pvn_prop,bia_prop,stp_prop,water_prop,und_prop,st_prop,fws_prop,coe_prop,stl_prop,pvu_prop,stw_prop,bpa_prop,dod_prop,gsa_prop,nps_prop,tot_prop
2274,572368.451,40626.634,0,0,125544.036,0,46652.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785191.173,0.7289542606714964,0.051741073253252175,0,0,0.15988976992740594,0,0.05941489614784552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2275,109458.175,0,0,0,0,0,540104.981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649563.1560000001,0.16851044273206897,0,0,0,0,0,0.831489557267931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2276,462235.80100000004,77867.469,0,0,1269.047,0,243818.856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785191.1730000001,0.588692049649417,0.09917007689030655,0,0,0.0016162267784434199,0,0.31052164668183296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2277,123395.928,0,0,0,44875.223,0,189324.689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357595.84,0.3450709269995982,0,0,0,0.12549145705945572,0,0.5294376159409461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2278,0,0,0,0,0,0,385538.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385538.051,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2279,0,0,0,0,0,0,215912.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215912.703,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2280,50931.01,0,0,0,0,0,734260.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785191.172,0.06486447099280429,0,0,0,0,0,0.9351355290071957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2281,8762.885,0,0,0,0,0,776428.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785191.173,0.01116019295851152,0,0,0,0,0,0.9888398070414884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2282,0,0,0,0,0,0,785191.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785191.173,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2283,304958.99100000004,0,0,0,0,0,200257.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505216.1830000001,0.6036207890039025,0,0,0,0,0,0.39637921099609746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2284,0.676,0,0,0,0,0,156590.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156590.763,4.316985159590799e-6,0,0,0,0,0,0.9999956830148403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2285,25772.168,0,0,0,0,0,217430.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243202.71300000002,0.10596990338672743,0,0,0,0,0,0.8940300966132726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2286,483795.796,0,0,0,0,0,301395.377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785191.173,0.6161503244509856,0,0,0,0,0,0.38384967554901434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2287,365094.18,0,0,0,0,0,237750.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602845.04,0.6056186180116867,0,0,0,0,0,0.39438138198831324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2288,271726.04000000004,0,0,0,0,0,513465.13300000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785191.1730000001,0.3460635439415466,0,0,0,0,0,0.6539364560584534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2289,448800.454,0,0,0,0,0,336390.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785191.173,0.5715811249956576,0,0,0,0,0,0.4284188750043424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2290,95570.75200000001,440.198,0,0,0,0,84941.757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180952.707,0.5281532041407925,0.0024326687746097104,0,0,0,0,0.46941412708459784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2291,93315.797,1528.232,0,0,0,0,86108.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180952.707,0.5156916331735231,0.008445477414162144,0,0,0,0,0.4758628894123148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2292,0,0,0,0,0,0,785191.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785191.174,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2301,0,488.805,0,0,0,0,644547.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645035.8150000001,0,7.577951311122158e-4,0,0,0,0,0.9992422048688877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
